"national_id","","","description","type1","type2","previous_pokemon","id","name"
"1","","","Bulbizarre passe son temps à faire la sieste sous le soleil. Il y a une graine sur son dos. Il absorbe les rayons du soleil pour faire doucement pousser la graine.","11","12","","1","Bulbizarre"
"2","","","Un bourgeon a poussé sur le dos de ce Pokémon. Pour en supporter le poids, Herbizarre a dû se muscler les pattes. Lorsqu'il commence à se prélasser au soleil, ça signifie que son bourgeon va éclore, donnant naissance à une fleur.","11","12","1","2","Herbizarre"
"3","","","Une belle fleur se trouve sur le dos de Florizarre. Elle prend une couleur vive lorsqu'elle est bien nourrie et bien ensoleillée. Le parfum de cette fleur peut apaiser les gens.","11","12","2","3","Florizarre"
"4","","","La flamme qui brûle au bout de sa queue indique l'humeur de ce Pokémon. Elle vacille lorsque Salamèche est content. En revanche, lorsqu'il s'énerve, la flamme prend de l'importance et brûle plus ardemment.","7","","","4","Salamèche"
"5","","","Reptincel lacère ses ennemis sans pitié grâce à ses griffes acérées. S'il rencontre un ennemi puissant, il devient agressif et la flamme au bout de sa queue s'embrase et prend une couleur bleu clair.","7","","4","5","Reptincel"
"6","","","Dracaufeu parcourt les cieux pour trouver des adversaires à sa mesure. Il crache de puissantes flammes capables de faire fondre n'importe quoi. Mais il ne dirige jamais son souffle destructeur vers un ennemi plus faible.","7","18","5","6","Dracaufeu"
"7","","","La carapace de Carapuce ne sert pas qu'à le protéger. La forme ronde de sa carapace et ses rainures lui permettent d'améliorer son hydrodynamisme. Ce Pokémon nage extrêmement vite.","4","","","7","Carapuce"
"8","","","Carabaffe a une large queue recouverte d'une épaisse fourrure. Elle devient de plus en plus foncée avec l'âge. Les éraflures sur la carapace de ce Pokémon témoignent de son expérience au combat.","4","","7","8","Carabaffe"
"9","","","Tortank dispose de canons à eau émergeant de sa carapace. Ils sont très précis et peuvent envoyer des balles d'eau capables de faire mouche sur une cible située à plus de 50 m.","4","","8","9","Tortank"
"10","","","Chenipan a un appétit d'ogre. Il peut engloutir des feuilles plus grosses que lui. Les antennes de ce Pokémon dégagent une odeur particulièrement entêtante.","9","","","10","Chenipan"
"11","","","La carapace protégeant ce Pokémon est dure comme du métal. Chrysacier ne bouge pas beaucoup. Il reste immobile pour préparer les organes à l'intérieur de sa carapace en vue d'une évolution future.","9","","10","11","Chrysacier"
"12","","","Papilusion est très doué pour repérer le délicieux nectar qu'il butine dans les fleurs. Il peut détecter, extraire et transporter le nectar de fleurs situées à plus de 10 km de son nid.","9","18","11","12","Papilusion"
"13","","","L'odorat d'Aspicot est extrêmement développé. Il lui suffit de renifler ses feuilles préférées avec son gros appendice nasal pour les reconnaître entre mille.","9","12","","13","Aspicot"
"14","","","Coconfort est la plupart du temps immobile et reste accroché à un arbre. Cependant, intérieurement, il est très actif, car il se prépare pour sa prochaine évolution. En touchant sa carapace, on peut sentir sa chaleur.","9","12","13","14","Coconfort"
"15","","","Dardargnan est extrêmement possessif. Il vaut mieux ne pas toucher son nid si on veut éviter d'avoir des ennuis. Lorsqu'ils sont en colère, ces Pokémon attaquent en masse.","9","12","14","15","Dardargnan"
"16","","","Roucool a un excellent sens de l'orientation. Il est capable de retrouver son nid sans jamais se tromper, même s'il est très loin de chez lui et dans un environnement qu'il ne connaît pas.","10","18","","16","Roucool"
"17","","","Roucoups utilise une vaste surface pour son territoire. Ce Pokémon surveille régulièrement son espace aérien. Si quelqu'un pénètre sur son territoire, il corrige l'ennemi sans pitié d'un coup de ses terribles serres.","10","18","16","17","Roucoups"
"18","","","Ce Pokémon est doté d'un plumage magnifique et luisant. Bien des Dresseurs sont captivés par la beauté fatale de sa huppe et décident de choisir Roucarnage comme leur Pokémon favori.","10","18","17","18","Roucarnage"
"19","","","Rattata est extrêmement prudent. Même lorsqu'il est endormi, il fait pivoter ses oreilles pour écouter autour de lui. En ce qui concerne son habitat, il n'est vraiment pas difficile. Il peut faire son nid n'importe où.","10","17","","19","Rattata"
"20","","","Les crocs robustes de Rattatac poussent constamment. Pour éviter qu'ils raclent le sol, il se fait les dents sur des cailloux ou des troncs d'arbre. Il lui arrive même de ronger les murs des maisons.","10","17","19","20","Rattatac"
"21","","","Piafabec crie tellement fort qu'il peut être entendu à 1 km de distance. Ces Pokémon se préviennent d'un danger en entonnant une mélopée très aiguë, qu'ils se renvoient les uns les autres, comme un écho.","10","18","","21","Piafabec"
"22","","","On reconnaît un Rapasdepic à son long cou et à son bec allongé. Ces attributs lui permettent d'attraper facilement ses proies dans la terre ou dans l'eau. Il bouge son bec long et fin avec une grande agilité.","10","18","21","22","Rapasdepic"
"23","","","Abo s'enroule en spirale pour dormir. Sa tête reste relevée de telle sorte que cette position lui permette de réagir rapidement si une menace survenait.","12","","","23","Abo"
"24","","","Ce Pokémon doté d'une force extraordinaire peut étrangler ses proies avec son corps. Il peut même écraser des tonneaux métalliques. Une fois sous l'étreinte d'Arbok, il est impossible de lui échapper.","12","","23","24","Arbok"
"25","","","Ce Pokémon dispose de petites poches dans les joues pour stocker de l'électricité. Elles semblent se charger pendant que Pikachu dort. Il libère parfois un peu d'électricité lorsqu'il n'est pas encore bien réveillé.","5","","","25","Pikachu"
"26","","","Ce Pokémon libère un faible champ électrique tout autour de son corps, ce qui le rend légèrement lumineux dans le noir. Raichu plante sa queue dans le sol pour évacuer de l'électricité.","5","","25","26","Raichu"
"27","","","Sabelette a une peau très sèche et extrêmement dure. Ce Pokémon peut s'enrouler sur lui-même pour repousser les attaques. La nuit, il s'enterre dans le sable du désert pour dormir.","15","8","","27","Sabelette"
"28","","","Sablaireau peut enrouler son corps pour prendre la forme d'une balle hérissée de pointes. Ce Pokémon essaie de faire peur à son ennemi en le frappant avec ses pointes. Puis, il se rue sur lui avec ses griffes acérées.","15","8","27","28","Sablaireau"
"29","","","Nidoran femelle est couvert de pointes qui sécrètent un poison puissant. On pense que ce petit Pokémon a développé ces pointes pour se défendre. Lorsqu'il est en colère, une horrible toxine sort de sa corne.","12","","","29","Nidoran femelle"
"30","","","Lorsqu'un Nidorina est avec ses amis ou sa famille, il replie ses pointes pour ne pas blesser ses proches. Ce Pokémon devient vite nerveux lorsqu'il est séparé de son groupe.","12","","29","30","Nidorina"
"31","","","Le corps de Nidoqueen est protégé par des écailles extrêmement dures. Il aime envoyer ses ennemis voler en leur fonçant dessus. Ce Pokémon utilise toute sa puissance lorsqu'il protège ses petits.","12","15","30","31","Nidoqueen"
"32","","","Nidoran mâle a développé des muscles pour bouger ses oreilles. Ainsi, il peut les orienter à sa guise. Ce Pokémon peut entendre le plus discret des bruits.","12","","","32","Nidoran mâle"
"33","","","Nidorino dispose d'une corne plus dure que du diamant. S'il sent une présence hostile, toutes les pointes de son dos se hérissent d'un coup, puis il défie son ennemi.","12","","32","33","Nidorino"
"34","","","L'épaisse queue de Nidoking est d'une puissance incroyable. En un seul coup, il peut renverser une tour métallique. Lorsque ce Pokémon se déchaîne, plus rien ne peut l'arrêter.","12","15","33","34","Nidoking"
"35","","","Les nuits de pleine lune, des groupes de ces Pokémon sortent jouer. Lorsque l'aube commence à poindre, les Mélofée fatigués rentrent dans leur retraite montagneuse et vont dormir, blottis les uns contre les autres.","6","","","35","Mélofée"
"36","","","Les Mélodelfe se déplacent en sautant doucement, comme s'ils volaient. Leur démarche légère leur permet même de marcher sur l'eau. On raconte qu'ils se promènent sur les lacs, les soirs où la lune est claire.","6","","35","36","Mélodelfe"
"37","","","À l'intérieur du corps de Goupix se trouve une flamme qui ne s'éteint jamais. Pendant la journée, lorsque la température augmente, ce Pokémon crache des flammes pour éviter que son corps ne devienne trop chaud.","7","8","","37","Goupix"
"38","","","La légende raconte que Feunard est apparu lorsque neuf sorciers aux pouvoirs sacrés décidèrent de fusionner. Ce Pokémon est très intelligent. Il comprend la langue des hommes.","7","8","37","38","Feunard"
"39","","","Lorsque ce Pokémon chante, il ne s'arrête pas pour respirer. Quand il se bat contre un adversaire qu'il ne peut pas facilement endormir, Rondoudou reste donc sans respirer, mettant sa vie en danger.","10","6","","39","Rondoudou"
"40","","","Le corps de Grodoudou est très élastique. S'il inspire profondément, ce Pokémon peut se gonfler à volonté. Une fois gonflé, Grodoudou peut rebondir comme un ballon.","10","6","39","40","Grodoudou"
"41","","","Nosferapti évite la lumière du soleil, car ça le rend malade. Pendant la journée, il reste dans les cavernes ou à l'ombre des vieilles maisons, où il dort, la tête à l'envers.","12","18","","41","Nosferapti"
"42","","","Nosferalto mord sa proie grâce à ses quatre crocs pour boire son sang. Il ne sort que lorsque la nuit est noire et sans lune, pour voleter en quête de gens et de Pokémon à mordre.","12","18","41","42","Nosferalto"
"43","","","Mystherbe cherche un sol fertile et riche en nutriments, pour s'y planter. Pendant la journée, quand il est planté, les pieds de ce Pokémon changent de forme et deviennent similaires à des racines.","11","12","","43","Mystherbe"
"44","","","Ortide bave un miel qui sent horriblement mauvais. Apparemment, il adore cette odeur nauséabonde. Il en renifle les fumées toxiques et se met à baver du miel de plus belle.","11","12","43","44","Ortide"
"45","","","Rafflesia dispose des plus grands pétales du monde. Il s'en sert pour attirer ses proies avant de les endormir avec ses spores toxiques. Ce Pokémon n'a plus alors qu'à attraper sa proie et à la manger.","11","12","44","45","Rafflesia"
"46","","","Paras accueille des champignons parasites appelés tochukaso qui poussent sur son dos. Ils grandissent grâce aux nutriments trouvés sur le dos de ce Pokémon Insecte. Ils peuvent rallonger l'espérance de vie.","9","11","","46","Paras"
"47","","","On sait que les Parasect vivent en groupe dans les grands arbres et se nourrissent des nutriments contenus dans le tronc et les racines. Lorsqu'un arbre infesté meurt, ils se précipitent vers le prochain.","9","11","46","47","Parasect"
"48","","","On raconte que Mimitoss a évolué avec une fourrure de poils fins et drus qui protège son corps tout entier. Il est doté de grands yeux capables de repérer ses proies, même minuscules.","9","12","","48","Mimitoss"
"49","","","Aéromite est un Pokémon nocturne, il ne sort donc que la nuit. Ses proies préférées sont les petits insectes qui se rassemblent autour des réverbères, attirés par la lumière.","9","12","48","49","Aéromite"
